job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
abinit_test0_N8_nopeak,test0,N8_nopeak,8,384,false,2026-06-29 19:09:10,2026-06-29 19:09:16,6,0,3257197
abinit_test1_N8_nopeak,test1,N8_nopeak,8,384,false,2026-06-29 19:14:15,2026-06-29 19:14:20,5,0,3257207
abinit_test0_N8_peak,test0,N8_peak,8,384,true,2026-06-29 19:14:15,2026-06-29 19:22:03,468,0,3257206
abinit_test2_N8_nopeak,test2,N8_nopeak,8,384,false,2026-06-29 19:24:26,2026-06-29 19:24:31,5,0,3257230
abinit_test1_N8_peak,test1,N8_peak,8,384,true,2026-06-29 19:19:22,2026-06-29 19:24:34,312,0,3257221
abinit_test2_N8_peak,test2,N8_peak,8,384,true,2026-06-29 19:39:37,2026-06-29 19:45:06,329,0,3257280
abinit_test4_N8_nopeak,test4,N8_nopeak,8,384,false,2026-06-29 21:56:46,2026-06-29 21:56:52,6,0,3257646
abinit_test3_N8_nopeak,test3,N8_nopeak,8,384,false,2026-06-29 21:56:46,2026-06-29 21:56:55,9,0,3257644
abinit_test4_N8_peak,test4,N8_peak,8,384,true,2026-06-29 21:56:46,2026-06-29 22:03:49,423,0,3257193
abinit_test3_N8_peak,test3,N8_peak,8,384,true,2026-06-29 21:56:46,2026-06-29 22:04:21,455,0,3257645
abinit_test1_N4_nopeak,test1,N4_nopeak,4,192,false,2026-06-29 22:06:55,2026-06-29 22:07:00,5,0,3257671
abinit_test0_N4_nopeak,test0,N4_nopeak,4,192,false,2026-06-29 22:06:55,2026-06-29 22:07:00,5,0,3257669
abinit_test2_N4_nopeak,test2,N4_nopeak,4,192,false,2026-06-29 22:06:55,2026-06-29 22:07:00,5,0,3257673
abinit_test3_N4_nopeak,test3,N4_nopeak,4,192,false,2026-06-29 22:12:01,2026-06-29 22:12:05,4,0,3257681
abinit_test4_N4_nopeak,test4,N4_nopeak,4,192,false,2026-06-29 22:12:01,2026-06-29 22:12:05,4,0,3257683
abinit_test1_N4_peak,test1,N4_peak,4,192,true,2026-06-29 22:06:55,2026-06-29 22:12:44,349,0,3257672
abinit_test0_N4_peak,test0,N4_peak,4,192,true,2026-06-29 22:06:55,2026-06-29 22:15:05,490,0,3257670
abinit_test3_N4_peak,test3,N4_peak,4,192,true,2026-06-29 22:12:01,2026-06-29 22:18:10,369,0,3257682
abinit_test4_N4_peak,test4,N4_peak,4,192,true,2026-06-29 22:12:01,2026-06-29 22:18:26,385,0,3257663
abinit_test2_N4_peak,test2,N4_peak,4,192,true,2026-06-29 22:12:01,2026-06-29 22:18:32,391,0,3257680
abinit_test2_N2_nopeak,test2,N2_nopeak,2,96,false,2026-06-29 22:22:10,2026-06-29 22:22:14,4,0,3257706
abinit_test1_N2_nopeak,test1,N2_nopeak,2,96,false,2026-06-29 22:22:10,2026-06-29 22:22:14,4,0,3257704
abinit_test0_N2_nopeak,test0,N2_nopeak,2,96,false,2026-06-29 22:22:10,2026-06-29 22:22:14,4,0,3257702
abinit_test4_N2_nopeak,test4,N2_nopeak,2,96,false,2026-06-29 22:27:14,2026-06-29 22:27:18,4,0,3257721
abinit_test3_N2_nopeak,test3,N2_nopeak,2,96,false,2026-06-29 22:27:14,2026-06-29 22:27:18,4,0,3257719
abinit_test1_N2_peak,test1,N2_peak,2,96,true,2026-06-29 22:22:10,2026-06-29 22:27:56,346,0,3257705
abinit_test0_N2_peak,test0,N2_peak,2,96,true,2026-06-29 22:22:10,2026-06-29 22:32:17,607,0,3257703
abinit_test3_N2_peak,test3,N2_peak,2,96,true,2026-06-29 22:27:14,2026-06-29 22:32:52,338,0,3257720
abinit_test4_N2_peak,test4,N2_peak,2,96,true,2026-06-29 22:27:14,2026-06-29 22:33:05,351,0,3257699
abinit_test2_N2_peak,test2,N2_peak,2,96,true,2026-06-29 22:27:14,2026-06-29 22:33:44,390,0,3257718
abinit_test1_n8_nopeak,test1,n8_nopeak,1,8,false,2026-06-29 22:37:23,2026-06-29 22:37:26,3,0,3257736
abinit_test2_n8_nopeak,test2,n8_nopeak,1,8,false,2026-06-29 22:37:23,2026-06-29 22:37:26,3,0,3257738
abinit_test0_n8_nopeak,test0,n8_nopeak,1,8,false,2026-06-29 22:37:23,2026-06-29 22:37:26,3,0,3257734
abinit_test1_n8_peak,test1,n8_peak,1,8,true,2026-06-29 22:37:23,2026-06-29 22:41:55,272,0,3257737
abinit_test4_n8_nopeak,test4,n8_nopeak,1,8,false,2026-06-29 22:42:26,2026-06-29 22:42:30,4,0,3257755
abinit_test3_n8_nopeak,test3,n8_nopeak,1,8,false,2026-06-29 22:42:26,2026-06-29 22:42:30,4,0,3257753
abinit_test0_n8_peak,test0,n8_peak,1,8,true,2026-06-29 22:37:23,2026-06-29 22:44:26,423,0,3257735
abinit_test2_n8_peak,test2,n8_peak,1,8,true,2026-06-29 22:42:26,2026-06-29 22:47:58,332,0,3257752
abinit_test3_n8_peak,test3,n8_peak,1,8,true,2026-06-29 22:42:26,2026-06-29 22:49:03,397,0,3257754
abinit_test4_n8_peak,test4,n8_peak,1,8,true,2026-06-29 22:47:30,2026-06-29 22:54:08,398,0,3257730
abinit_test0_N16_nopeak,test0,N16_nopeak,16,768,false,2026-06-30 00:43:37,2026-06-30 00:43:43,6,0,3257942
abinit_test1_N16_nopeak,test1,N16_nopeak,16,768,false,2026-06-30 00:48:40,2026-06-30 00:50:55,135,0,3257958
abinit_test2_N16_nopeak,test2,N16_nopeak,16,768,false,2026-06-30 00:58:46,2026-06-30 01:01:05,139,0,3257981
abinit_test0_N16_peak,test0,N16_peak,16,768,true,2026-06-30 00:43:37,2026-06-30 01:01:07,1050,0,3257943
abinit_test1_N16_peak,test1,N16_peak,16,768,true,2026-06-30 00:53:43,2026-06-30 01:08:43,900,0,3257971
abinit_test3_N16_nopeak,test3,N16_nopeak,16,768,false,2026-06-30 01:08:52,2026-06-30 01:08:58,6,0,3258023
abinit_test4_N16_nopeak,test4,N16_nopeak,16,768,false,2026-06-30 01:13:54,2026-06-30 01:14:00,6,0,3258036
abinit_test2_N16_peak,test2,N16_peak,16,768,true,2026-06-30 01:08:52,2026-06-30 01:26:37,1065,0,3258022
abinit_test3_N16_peak,test3,N16_peak,16,768,true,2026-06-30 01:13:54,2026-06-30 01:30:27,993,0,3258035
abinit_test4_N16_peak,test4,N16_peak,16,768,true,2026-06-30 01:18:56,2026-06-30 01:33:22,866,0,3257775
abinit_test0_n48_nopeak,test0,n48_nopeak,1,48,false,2026-06-30 09:49:27,2026-06-30 09:49:32,5,0,3259016
abinit_test0_n48_peak,test0,n48_peak,1,48,true,2026-06-30 09:54:30,2026-06-30 10:00:49,379,0,3259037
abinit_test1_n48_nopeak,test1,n48_nopeak,1,48,false,2026-06-30 10:04:35,2026-06-30 10:04:39,4,0,3259062
abinit_test2_n48_nopeak,test2,n48_nopeak,1,48,false,2026-06-30 10:04:35,2026-06-30 10:04:39,4,0,3259064
abinit_test1_n48_peak,test1,n48_peak,1,48,true,2026-06-30 10:04:35,2026-06-30 10:09:13,278,0,3259063
abinit_test3_n48_nopeak,test3,n48_nopeak,1,48,false,2026-06-30 10:09:36,2026-06-30 10:09:40,4,0,3259084
abinit_test4_n48_nopeak,test4,n48_nopeak,1,48,false,2026-06-30 10:09:36,2026-06-30 10:09:41,5,0,3259086
abinit_test4_n48_peak,test4,n48_peak,1,48,true,2026-06-30 10:09:36,2026-06-30 10:14:52,316,0,3258062
abinit_test2_n48_peak,test2,n48_peak,1,48,true,2026-06-30 10:09:36,2026-06-30 10:15:07,331,0,3259083
abinit_test3_n48_peak,test3,n48_peak,1,48,true,2026-06-30 10:09:36,2026-06-30 10:15:16,340,0,3259085
